algorithm_name,env_n,size,best_solution,H,states,time
GA,17,10,"[0, 6, 3, 1, 9, 9, 5, 8, 4, 1]",4,100,0.005877494812011719
GA,18,10,"[5, 3, 6, 9, 5, 8, 0, 4, 1, 7]",2,100,0.005930185317993164
GA,19,10,"[4, 0, 9, 2, 6, 8, 7, 5, 1, 3]",3,100,0.005923032760620117
GA,20,10,"[3, 1, 9, 5, 9, 2, 0, 6, 6, 1]",4,100,0.005868196487426758
GA,21,10,"[8, 3, 0, 0, 5, 9, 6, 7, 1, 8]",5,100,0.00597834587097168
GA,22,10,"[6, 3, 0, 7, 5, 1, 9, 6, 0, 3]",4,100,0.005975246429443359
GA,23,10,"[3, 5, 8, 2, 9, 1, 6, 9, 7, 0]",3,100,0.005884408950805664
GA,24,10,"[2, 5, 7, 8, 4, 4, 1, 3, 9, 2]",5,100,0.00594019889831543
GA,25,10,"[6, 5, 3, 0, 9, 7, 1, 1, 6, 9]",4,100,0.005896568298339844
GA,26,10,"[5, 9, 6, 3, 0, 4, 5, 7, 9, 4]",5,100,0.0058214664459228516
GA,27,10,"[2, 9, 3, 8, 2, 1, 6, 4, 0, 8]",4,100,0.0059621334075927734
GA,28,10,"[8, 4, 1, 9, 6, 2, 7, 3, 1, 0]",3,100,0.005965232849121094
GA,29,10,"[7, 4, 9, 2, 5, 3, 6, 9, 1, 5]",5,100,0.0067021846771240234



SA,0,4,"[2, 0, 1, 3]",1,109,0.0003554821014404297
SA,1,4,"[1, 3, 0, 2]",0,45,0.0001556873321533203
SA,2,4,"[1, 3, 0, 2]",0,7,2.9087066650390625e-05
SA,3,4,"[2, 0, 3, 1]",0,145,0.000461578369140625
SA,4,4,"[1, 3, 0, 2]",0,91,0.00029730796813964844
SA,5,4,"[2, 0, 3, 1]",0,123,0.00039267539978027344
SA,6,4,"[1, 3, 0, 2]",0,4,2.0503997802734375e-05
SA,7,4,"[1, 3, 0, 2]",0,60,0.0001971721649169922
SA,8,4,"[2, 0, 3, 1]",0,13,4.6253204345703125e-05
SA,9,4,"[2, 0, 3, 1]",0,3,1.52587890625e-05
SA,10,4,"[2, 0, 3, 1]",0,41,0.0001461505889892578
SA,11,4,"[2, 0, 3, 1]",0,9,3.2901763916015625e-05
SA,12,4,"[2, 0, 3, 1]",0,41,0.00013184547424316406
SA,13,4,"[2, 0, 3, 1]",0,7,2.8371810913085938e-05
